EVENT_TIMESTAMP,EVENT_ID,ENTITY_TYPE,ENTITY_ID,card_bin,customer_name,billing_street,billing_zip,billing_longitude,billing_latitude,billing_city,billing_state,billing_country,customer_job,ip_address,customer_email,billing_phone,user_agent,product_category,order_price,payment_currency,merchant,STATUS,OUTCOMES,RULE_RESULTS,MODEL_SCORES
2023-01-05T11:53:57.000Z,"1fff50df399089fd634257782e0ba3a70",customer,551-97-4887,460265,Michelle,"318 Laura Islands",18823,0,0,Harford,PA,US,"Scientist, product/process development",199.234.86.83,jorgeclark@webb-horn.com,1-149-622-1215-73169,"Opera/9.42.(X11; Linux x86_64; ast-ES) Presto/2.9.173 Version/11.00",shopping_pos,7.13,WST,fraud_Beier-Hyatt,Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 3.0}"
2023-01-10T17:10:43.000Z,"1fff57c8793982280871820250f4f3fe4",customer,165-25-8426,651259,James,"853 Matthew Branch",97904,0,0,Drewsey,OR,US,"Outdoor activities/education manager",162.236.230.186,tfarley@avery.com,346-497-5765-32858,"Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/5.0)",health_fitness,110.81,BGN,fraud_Shields-Wunsch,Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 311.0}"
2023-02-16T00:09:09.000Z,"1ffff98c38ee1b47112b30828f905d037",customer,617-78-7415,498726,Michael,"76424 Williams Run",16253,0,0,Seminole,PA,US,"Human resources officer",41.46.230.67,robertsshannon@yahoo.com,982-474-6933-49403,"Mozilla/5.0 (Windows 98) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/20.0.844.0 Safari/531.0",misc_net,812.06,GGP,fraud_Flatley-Durgan,Success,review,"{""review_rule"": [""review""]}","{'transaction_fraud_detection_model': 925.0}"
2022-11-24T07:43:43.000Z,"1fffe4e48cf55836b733b5dc4b30eb839",customer,593-07-2598,180044,Adam,"65416 Cole Track",52750,0,0,"Goose Lake",IA,US,"Sport and exercise psychologist",32.125.205.189,suttonmargaret@gmail.com,197-391-1731,"Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/3.0)",entertainment,595.63,MUR,"fraud_Parker, Nolan and Trantow",Success,declined,"{""declined_rule"": [""declined""]}","{'transaction_fraud_detection_model': 993.0}"
2022-11-19T17:43:07.000Z,"1fff9033c8e4fd73a5aa89a708a95bcb3",customer,746-32-8862,379610,Joshua,"63960 Sanchez Fields Apt. 350",71045,0,0,Jamestown,LA,US,"Marketing executive",30.137.47.209,jfrazier@yahoo.com,897-712-3376-60063,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_9) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/21.0.879.0 Safari/534.2",gas_transport,39.41,BAM,fraud_Bartoletti-Wunsch,Success,declined,"{""declined_rule"": [""declined""]}","{'transaction_fraud_detection_model': 975.0}"
2023-02-24T16:23:15.000Z,"1fffca59dbed3d7f6ab4d703ddf78bd4c",customer,623-64-2482,436935,Holly,"26914 Dana Point Suite 146",18051,0,0,Fogelsville,PA,US,"Hospital doctor",194.127.164.122,selena96@yahoo.com,-2122,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0 rv:4.0; sa-IN) AppleWebKit/532.2.5 (KHTML, like Gecko) Version/4.0.2 Safari/532.2.5",shopping_pos,16.47,ZAR,fraud_Metz-Boehm,Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 36.0}"
2022-11-28T18:15:51.000Z,"1fff9574c90456af968c961e4d7093843",customer,496-82-0131,639061,Jill,"11153 Johns Points Apt. 955",78880,0,0,Rocksprings,TX,US,"Data processing manager",170.73.37.91,wheelermary@ballard.com,171-390-1749,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/34.0.801.0 Safari/536.0",gas_transport,59.76,NAD,fraud_Bartoletti-Wunsch,Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 250.0}"
2022-12-01T21:00:08.000Z,"1fff3f844c106f9470f4bdbe8700e004e",customer,702-40-0752,423723,Megan,"8090 Jessica Villages",66834,0,0,"Alta Vista",KS,US,"Building services engineer",190.56.214.122,"rwilson@smith-fletcher.com",1-677-222-8681-808,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/25.0.851.0 Safari/532.2",health_fitness,53.53,CRC,"fraud_Torp, Muller and Borer",Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 34.0}"
2022-12-29T21:59:00.000Z,"1ffff407b1a10026a19c9b4179b0ec6a7",customer,791-41-9826,601154,Kimberly,"122 Reynolds Shore",75080,0,0,Richardson,TX,US,Animator,200.244.199.8,smithjackson@gmail.com,1-084-852-2675-22905,"Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/5.0)",shopping_pos,600.76,CHF,fraud_Pouros-Conroy,Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 788.0}"
2023-01-10T09:29:58.000Z,"1fff85deace7ca6028dab6d470e7adbc5",customer,685-77-0989,408003,Juan,"194 Laura Turnpike Apt. 531",91744,0,0,"La Puente",CA,US,Immunologist,142.15.16.69,tgarcia@braun.com,347-038-3422-91915,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; szl-PL) AppleWebKit/531.14.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6531.14.5",health_fitness,34.67,UZS,"fraud_Cormier LLC",Success,declined,"{""declined_rule"": [""declined""]}","{'transaction_fraud_detection_model': 973.0}"
2023-01-10T10:12:46.000Z,"1fff86d02a9de11417c2f1c6ddd84d05b",customer,006-50-6216,490984,Faith,"51037 Ariel Branch",95118,0,0,"San Jose",CA,US,Hydrologist,93.230.8.247,lisa07@gmail.com,6454447309,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/9.1h1977.0 Mobile/22S439 Safari/531.1",shopping_pos,42.64,MVR,"fraud_Douglas, Schneider and Turner",Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 23.0}"
2023-02-01T04:22:58.000Z,"1fffd63e7b17d9cef156e5ae9e6a1896f",customer,077-45-4775,355695,Eric,"29055 Bowers Parks",78607,0,0,Bluffton,TX,US,"Development worker, international aid",199.84.210.107,gchase@yahoo.com,1-453-292-6441-9787,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/17.0.849.0 Safari/533.2",home,11.62,PKR,fraud_Champlin-Casper,Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 268.0}"
2023-01-20T07:52:58.000Z,"1fffeb32941694b1f0b25016151c609e0",customer,037-89-5070,352609,Jeffery,"1495 Jennifer Neck Suite 989",25862,0,0,Lansing,WV,US,"International aid/development worker",11.163.2.23,maryhicks@gmail.com,1-047-305-1670,"Opera/8.72.(X11; Linux i686; ku-TR) Presto/2.9.170 Version/10.00",shopping_net,1027.12,CUP,fraud_Stamm-Witting,Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 748.0}"
2022-11-26T03:58:39.000Z,"1fff9d3c70f4f5cbb36b40c209a40b021",customer,807-61-7922,359463,Melody,"0167 Jennifer Villages Apt. 940",16323,0,0,Franklin,PA,US,"Administrator, charities/voluntary organisations",104.150.36.91,saraboyd@hotmail.com,503-587-9447-5361,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5 rv:5.0; dz-BT) AppleWebKit/534.35.7 (KHTML, like Gecko) Version/5.0 Safari/534.35.7",misc_pos,12.61,AED,"fraud_Williamson LLC",Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 785.0}"
2022-12-20T17:32:15.000Z,"1fff7836bca756c63432d76f78c1dd4d7",customer,810-48-2095,350159,Monica,"43410 Sherry Inlet Apt. 207",24977,0,0,Smoot,WV,US,"Sports administrator",118.87.68.194,kellydorsey@yahoo.com,948-933-9847-05931,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_1 rv:5.0; doi-IN) AppleWebKit/532.46.7 (KHTML, like Gecko) Version/5.0 Safari/532.46.7",home,18.3,DKK,"fraud_O'Connell-Ullrich",Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 768.0}"
2023-02-26T19:53:10.000Z,"1fffcbfdab8d41814414051855390976c",customer,673-10-6227,405646,Kristopher,"1796 Le Dale",61431,0,0,Ellisville,IL,US,Actor,186.33.204.161,noah10@gmail.com,1-211-213-2218-05029,"Opera/9.54.(X11; Linux i686; sid-ET) Presto/2.9.174 Version/10.00",grocery_pos,314.19,IMP,"fraud_Kunze Inc",Success,declined,"{""declined_rule"": [""declined""]}","{'transaction_fraud_detection_model': 957.0}"
2023-02-03T05:30:03.000Z,"1fffd90697c52bdfe43ff06640789dd5d",customer,377-68-3850,651071,William,"897 Lambert Viaduct Suite 401",96714,0,0,Hanalei,HI,US,"Analytical chemist",94.105.57.10,"shane57@walter-collier.com",-7007,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; csb-PL) AppleWebKit/534.7.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6534.7.5",gas_transport,65.11,TRY,"fraud_Zieme, Bode and Dooley",Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 142.0}"
2023-02-10T15:56:33.000Z,"1fff69ad76f611b71e457b7be7559d66d",customer,141-07-4360,351334,Frederick,"80441 Ferguson Road Apt. 241",97540,0,0,Talent,OR,US,"Games developer",52.147.242.16,"torresjoshua@hernandez.org",1-577-039-4352,"Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2010-10-02 17:09:44 Firefox/3.8",home,48.18,XOF,"fraud_McDermott, Osinski and Morar",Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 171.0}"
2022-12-30T03:10:27.000Z,"1fff6c7a6fcf471aef57f37b91e9a9907",customer,700-51-5574,630425,Charles,"468 Wallace Shoals Apt. 796",71045,0,0,Jamestown,LA,US,"Teacher, adult education",136.93.113.111,lhayes@yahoo.com,251-174-3769-013,"Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/5.1)",gas_transport,41.48,KGS,fraud_Bartoletti-Wunsch,Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 67.0}"
2023-02-07T00:39:30.000Z,"1fff570a2795f718114c9457e79373ae2",customer,815-52-0614,375006,Jeffrey,"691 Linda Views Apt. 533",72531,0,0,Elizabeth,AR,US,"Runner, broadcasting/film/video",208.120.63.27,rossjenna@gmail.com,604-962-3622-60530,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_7) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/22.0.876.0 Safari/536.1",shopping_net,108.5,RSD,"fraud_Cormier LLC",Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 4.0}"
2023-03-04T08:26:45.000Z,"1fff517b13e14675409a172bc56b68dd0",customer,398-64-7705,639088,Valerie,"79533 Mckee Plains",88431,0,0,Newkirk,NM,US,"General practice doctor",97.184.53.208,"fergusonerin@parks-schmidt.com",808-928-6529,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_9) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/51.0.831.0 Safari/533.0",health_fitness,24.77,SCR,"fraud_Graham and Sons",Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 209.0}"
2023-01-02T17:01:37.000Z,"1fffd9482a43bb5afaad08c6a4b1a205b",customer,485-11-6955,380988,Stephen,"782 Mcdonald Crescent Apt. 981",69339,0,0,Crawford,NE,US,"Analytical chemist",217.178.249.147,callahanjulie@yahoo.com,4558915700,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/532.11.6 (KHTML, like Gecko) Version/5.1 Safari/532.11.6",gas_transport,11.34,GHS,fraud_Huels-Nolan,Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 782.0}"
2023-02-01T23:26:30.000Z,"1fffb5a4356a076620b44b022f40425e0",customer,386-99-9338,365016,Holly,"15443 Smith Park Apt. 882",99785,0,0,"Brevig Mission",AK,US,"Publishing rights manager",114.138.178.249,"edwardscourtney@morton.com",-8953,"Mozilla/5.0 (Linux; Android 2.3.3) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/54.0.810.0 Safari/535.1",health_fitness,1.5,MWK,"fraud_Heller PLC",Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 2.0}"
2022-12-12T02:51:09.000Z,"1fff39ed7d0e1709c086779f499f38249",customer,191-52-6587,676121,Teresa,"353 Dylan Coves Apt. 114",25670,0,0,Delbarton,WV,US,"Regulatory affairs officer",220.253.42.255,dominic70@hotmail.com,467-925-9218-6353,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) FxiOS/9.8q5218.0 Mobile/96A309 Safari/533.0",shopping_pos,3.3,MMK,fraud_Pouros-Conroy,Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 4.0}"
2023-01-28T01:20:46.000Z,"1fff99d74fb364a86c000d630602686cb",customer,882-37-6553,407076,Melanie,"585 Kim Orchard Apt. 655",30633,0,0,Danielsville,GA,US,"Field trials officer",132.38.47.63,madison35@taylor.com,627-828-9649,"Mozilla/5.0 (Linux; Android 3.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/61.0.818.0 Safari/535.1",grocery_pos,318.63,SOS,fraud_McDermott-Weimann,Success,review,"{""review_rule"": [""review""]}","{'transaction_fraud_detection_model': 884.0}"
2023-02-06T07:42:55.000Z,"1fffc4a6b0e611a14452c6ac67bec91f4",customer,486-94-3574,474086,Rachel,"36212 Carson Club Apt. 141",99169,0,0,Ritzville,WA,US,"Industrial/product designer",201.79.10.101,"michaelbishop@harper.info",844-299-4597,"Opera/8.43.(Windows NT 5.1; oc-FR) Presto/2.9.183 Version/11.00",misc_net,4.76,BBD,"fraud_Rippin, Kub and Mann",Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 6.0}"
2022-11-14T00:38:52.000Z,"1fffc02a2c784f4b15319cc1440ee98b9",customer,176-50-5142,261876,Jordan,"282 Estrada Village Apt. 820",80478,0,0,Tabernash,CO,US,"Retail buyer",158.79.104.10,"theresa57@stephenson-nelson.com",1-046-093-7772,"Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/3.1)",personal_care,37.93,MZN,fraud_Schmeler-Howe,Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 649.0}"
2022-12-11T20:30:31.000Z,"1fff42a7662bd6d0d88674d91716692b3",customer,380-34-4870,348274,Stephanie,"03409 Hampton Lock",6472,0,0,Northford,CT,US,"Risk manager",42.26.122.68,drakeaaron@holloway.com,-8652,"Mozilla/5.0 (Windows CE) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/28.0.840.0 Safari/536.1",misc_pos,50.28,BHD,"fraud_Wiza, Schaden and Stark",Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 100.0}"
2022-12-30T17:15:02.000Z,"1fff4ae25704390326b5481b6ab199e13",customer,629-17-7410,305496,Walter,"370 David Throughway Apt. 396",17862,0,0,"Penns Creek",PA,US,Firefighter,98.43.2.255,teresapatel@yahoo.com,5174581102,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ht-HT) AppleWebKit/533.6.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6533.6.5",misc_net,766.56,UAH,fraud_Durgan-Auer,Success,declined,"{""declined_rule"": [""declined""]}","{'transaction_fraud_detection_model': 953.0}"
2023-02-07T01:00:00.000Z,"1ffff3d968571151016b631bf32b48fa1",customer,178-32-8103,405012,Jason,"4004 Alexa Stream Apt. 712",37027,0,0,Brentwood,TN,US,"Product manager",195.96.153.154,"dorseykaren@richardson.org",-7629,"Mozilla/5.0 (Android 4.0.1; Mobile; rv:30.0) Gecko/30.0 Firefox/30.0",shopping_net,1086.4,ISK,"fraud_Price Inc",Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 817.0}"
2023-02-18T12:14:13.000Z,"1fffa7d80ca7c904de90f31f52cbdcb6a",customer,220-74-8581,302729,Stephanie,"121 Alice Alley",48849,0,0,"Lake Odessa",MI,US,"Therapist, music",24.212.111.107,ashley25@hotmail.com,756-307-1637-903,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; ik-CA) AppleWebKit/533.24.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6533.24.2",home,50.78,BGN,"fraud_Botsford PLC",Success,accepted,"{""accepted_rule"": [""accepted""]}","{'transaction_fraud_detection_model': 19.0}"
